DtCustomer,Education,Marital,Kidhome,Teenhome,Income,MntFishProducts,MntMeatProducts,MntFruits,MntSweetProducts,MntWines,MntGoldProds,NumDealsPurchases,NumCatalogPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response
23-03-1974 22.46,None,Separated,1,1,1776316,2779,19778,2314,8891,13087,10241,11,0,12,13,3,99,1,0,0,0,1,1,1
06-10-1990 10.00,High School,Widowed,0,2,254610,8332,13777,7326,5631,24147,17254,12,3,10,2,24,18,0,1,0,1,1,0,1
23-03-2010 5.21,High School,Separated,1,0,317989,10463,19890,447,3725,14160,17903,5,10,16,2,20,78,1,1,1,0,1,1,0
24-08-1999 0.40,High School,Married,0,0,725496,8767,6859,6355,1914,19048,8710,14,0,23,9,14,79,0,1,1,0,0,1,1
25-01-1987 19.21,None,Divorced,0,0,229961,3535,7425,547,3708,4880,3259,10,10,5,1,21,85,0,0,1,1,0,0,0
05-07-1988 6.23,Masters,Divorced,1,1,528401,1099,4424,7990,8072,16269,14393,1,5,21,8,14,69,0,1,0,0,0,1,0
28-05-1988 18.52,None,Separated,1,1,1867176,9723,16865,2608,2796,9639,10522,3,7,16,0,16,34,0,1,0,1,0,0,1
28-09-1988 6.08,Masters,Divorced,1,1,485798,7404,10531,2751,5058,5492,14449,5,14,7,11,3,27,0,1,1,1,0,0,0
19-08-1971 6.38,Bachelors,Widowed,1,1,979092,10417,13153,1961,4821,16879,346,8,2,19,5,6,70,1,1,0,1,0,0,1
25-01-2000 8.08,None,Divorced,1,0,1734733,12657,16455,2341,3264,21755,17797,14,5,11,6,24,96,0,1,0,0,0,0,1
03-10-1991 23.46,High School,Separated,0,0,561007,1440,5362,6558,9347,2532,12715,1,4,20,14,19,16,1,0,1,1,1,0,0
02-05-2001 18.16,Masters,Single,1,2,574467,5953,6570,8717,628,14361,3464,6,8,16,12,21,73,0,1,0,0,1,1,1
31-08-2000 5.08,High School,Married,2,2,1627729,9550,9774,414,483,9430,14566,13,14,17,13,2,96,1,1,0,1,0,1,1
04-07-2013 14.08,Professional,Divorced,0,0,1371232,12073,18027,6579,962,8989,14413,2,12,23,6,9,23,1,0,0,0,0,0,0
15-06-1972 15.41,Professional,Married,0,1,1245451,10721,6764,6215,5827,11203,12131,5,14,13,13,15,62,1,0,0,1,1,1,0
02-11-2022 6.17,High School,Separated,1,1,1109671,12507,2474,719,2277,10689,8298,8,9,7,1,15,93,1,1,0,0,1,0,0
19-07-1989 13.55,None,Widowed,2,1,328169,8789,10366,9610,1473,15134,12965,5,4,10,7,11,29,1,1,0,0,1,0,0
05-11-2017 8.09,PhD,Married,2,0,1200858,6395,14904,3944,1609,11862,8789,2,13,24,3,4,54,0,1,1,1,1,0,1
18-03-1989 6.20,High School,Single,1,0,266104,8545,11225,1271,2563,15080,3367,8,14,15,3,6,44,1,0,1,0,1,1,1
26-08-1994 18.36,Professional,Separated,1,2,1425555,3306,3188,5201,1639,21396,17328,12,5,10,0,1,6,1,1,0,0,1,1,0
13-03-2003 20.13,Professional,Widowed,1,1,1811779,7681,1760,5083,4262,3565,3924,5,1,11,12,1,71,1,0,0,1,0,1,0
02-04-1981 14.13,PhD,Married,2,0,421230,12307,9216,5291,2172,16140,1498,3,7,21,5,15,28,1,1,1,1,1,0,0
25-11-1978 0.17,Professional,Married,1,1,396640,5764,4733,323,7678,6146,18656,0,1,15,9,16,42,0,0,1,1,0,0,1
06-07-1999 22.19,None,Widowed,0,0,1406641,4873,9409,8460,7268,15019,1978,10,5,9,11,9,42,1,0,0,0,0,0,0
30-10-1981 19.44,Masters,Divorced,2,1,1545976,4891,13180,6580,4380,19930,575,8,3,3,9,18,96,1,0,1,1,0,1,0
18-03-2007 23.43,PhD,Married,1,2,205906,12993,4674,4049,8964,21020,1349,11,6,12,8,4,69,0,1,1,0,1,1,1
18-10-1989 16.21,Professional,Single,2,0,1166644,10240,3275,5527,2226,17086,15898,8,1,3,9,22,51,0,1,0,1,0,0,1
11-09-1989 17.22,Masters,Separated,1,0,1205880,7504,17326,5234,9535,21423,14287,11,0,2,12,29,97,1,1,1,1,1,1,1
11-08-1995 7.13,PhD,Divorced,2,2,665887,1608,17753,4092,5288,17636,6243,7,7,1,14,25,73,0,1,1,1,0,0,1
07-08-2012 6.17,Professional,Widowed,2,1,1126716,8934,19992,8243,4046,15788,7374,11,9,17,8,17,19,0,1,0,1,0,0,0
18-02-2008 18.20,High School,Married,0,1,1046916,9940,10558,92,1498,4234,1211,9,10,14,5,23,7,0,0,0,0,0,1,1
15-08-2005 20.57,PhD,Divorced,2,0,961606,5883,8006,2994,5855,16067,14727,14,0,22,5,22,6,0,1,0,1,0,0,0
19-09-2010 20.02,None,Separated,2,1,975667,12338,13034,4559,1454,5198,11784,6,3,11,0,27,46,1,1,0,0,1,1,0
06-01-2010 6.10,High School,Widowed,2,0,1193734,3328,11518,2446,3019,19235,10729,11,1,3,9,4,31,1,1,0,1,1,1,0
30-10-1993 5.08,High School,Single,0,1,1900993,4375,1715,2918,3761,17311,5652,8,1,5,3,13,35,0,0,1,0,0,1,0
24-08-1995 8.41,Professional,Single,2,2,1457037,14893,5880,5175,1930,21675,4774,8,6,15,3,5,19,0,1,0,1,0,0,0
23-03-1995 5.15,Bachelors,Single,2,0,1904450,8529,13661,2133,6000,6176,19302,7,1,21,13,27,40,1,1,0,0,1,1,0
19-06-1983 6.56,None,Single,1,0,905360,625,7638,7628,405,22439,8234,8,2,14,9,23,67,0,1,1,1,0,0,0
23-05-1990 21.28,Bachelors,Widowed,2,0,1042319,1224,11630,7851,711,9492,1625,4,6,11,8,29,13,1,0,1,0,1,0,0
14-07-2015 6.43,Masters,Divorced,2,2,1167694,3081,14692,7528,501,18657,19173,3,2,5,12,17,60,1,1,0,0,1,1,1
27-10-2020 9.08,Professional,Separated,1,1,1846706,13659,2600,4986,6060,12824,1258,1,2,16,7,22,96,1,1,0,0,1,0,1
19-10-1980 19.41,Masters,Divorced,2,2,1137223,11081,12525,435,9078,13093,19448,9,4,15,2,12,47,1,0,0,0,0,1,0
14-04-1993 6.25,High School,Single,2,0,1383179,9586,6699,8145,3840,19206,12979,14,0,5,13,4,60,0,1,1,0,0,0,0
16-01-2006 2.45,None,Separated,2,2,855954,12466,16913,9915,9074,17459,7734,7,13,9,3,19,46,0,0,0,0,1,0,0
11-03-2015 0.29,PhD,Single,1,1,1124067,8102,237,2731,9678,7988,8724,14,8,10,7,26,23,0,1,0,1,1,0,0
17-11-1990 7.57,None,Married,2,2,907191,7455,13000,8393,9261,4650,884,8,8,6,5,23,74,1,1,0,1,1,0,0
14-09-1988 20.28,None,Single,1,0,490947,14727,15938,2693,4656,22501,6013,13,11,4,11,3,57,0,0,1,0,1,0,1
11-06-1974 2.10,PhD,Married,0,2,1031360,5117,15512,9418,6383,10084,16445,9,0,11,10,2,91,1,0,0,1,0,0,0
14-12-1981 18.24,None,Divorced,0,1,211437,3530,18382,9173,9166,21697,11149,0,2,5,10,23,45,1,1,0,1,0,1,1
02-02-1979 21.53,Masters,Widowed,0,1,685044,3309,17359,6641,6743,6058,3959,11,1,17,1,26,73,1,1,0,1,1,1,1
13-02-1974 3.55,None,Separated,2,0,264659,4294,4906,8221,3778,14521,10504,11,11,19,6,12,27,0,1,0,1,1,1,1
07-09-1979 23.27,Masters,Single,2,2,874535,10367,7539,8377,3055,21769,18729,13,13,0,10,15,44,1,1,1,0,0,1,0
29-12-1996 21.37,Masters,Married,0,2,391221,1222,4107,1321,4534,7254,3321,9,0,12,3,29,57,0,1,1,1,0,1,0
04-02-2016 3.57,PhD,Widowed,2,0,652306,13925,15806,5700,6053,8801,12607,9,5,5,11,27,22,0,0,1,1,1,0,0
22-03-1976 1.46,High School,Widowed,0,1,1867440,8126,238,9281,1767,8399,3990,8,9,1,2,13,44,1,1,0,0,0,1,1
12-01-1977 21.46,Masters,Married,1,2,753226,10803,14762,9708,4710,4001,2133,13,10,13,1,21,52,0,0,1,1,1,1,1
27-10-1992 8.44,Bachelors,Widowed,0,2,849453,10706,6747,1504,7483,19577,14035,7,12,0,12,26,21,1,1,0,0,1,1,1
07-12-1986 20.14,PhD,Married,2,0,1517933,10667,7132,8182,3879,12314,7250,9,9,24,4,21,84,1,1,0,0,0,1,0
10-09-2011 23.59,High School,Separated,0,2,1274775,8109,6381,625,6918,23208,17110,14,9,20,11,6,9,0,1,0,0,0,0,1
13-08-1988 2.03,Masters,Divorced,1,1,491864,3889,13828,398,9996,23835,1310,11,0,21,3,23,14,0,0,0,0,1,0,0
20-04-2017 16.44,Bachelors,Separated,0,2,1001357,13663,16169,9871,8614,24660,19635,2,3,7,11,6,98,1,1,0,1,0,1,0
16-11-1997 15.14,PhD,Divorced,1,0,635679,7129,3376,3541,7692,24036,2941,14,8,3,6,2,88,0,1,0,0,1,0,1
12-04-1990 16.38,None,Married,2,0,1177419,6704,6261,8875,5456,10071,13037,14,8,7,5,14,16,1,0,0,1,0,1,1
27-07-1997 3.13,Masters,Divorced,2,0,895429,1509,6524,5172,3360,23375,5244,4,6,9,11,9,84,0,0,0,1,1,0,0
27-10-2019 20.51,Professional,Widowed,0,2,1205426,13093,16460,4635,8835,5843,3666,10,4,10,11,0,91,1,1,0,1,1,1,0
15-08-2016 11.34,None,Widowed,1,2,1879906,14768,18662,4884,143,4226,5035,11,6,8,0,10,4,0,1,1,0,0,0,1
10-04-1974 10.55,PhD,Single,2,0,525752,13528,19699,6389,6884,21557,14149,9,4,21,4,24,87,1,1,0,1,0,1,1
18-01-1975 15.02,Masters,Married,2,1,360587,490,332,8592,3983,22802,6440,12,0,21,0,21,8,0,1,1,0,1,0,1
23-04-1990 12.10,PhD,Separated,0,0,1065185,13867,16776,4587,9415,11689,19573,7,0,15,2,18,19,1,0,1,1,1,1,0
04-02-2011 22.37,High School,Married,2,0,800454,14010,7512,1309,8439,16052,10691,0,14,21,3,6,40,0,0,0,0,0,1,0
03-05-2013 21.42,None,Single,1,0,286424,9758,1629,7785,7430,18247,13419,8,6,12,0,10,84,0,1,1,0,0,0,1
04-04-1984 1.53,None,Divorced,2,0,829824,7624,3628,6620,8564,163,7240,3,11,13,12,27,23,0,0,1,0,1,1,0
06-12-1991 16.34,Bachelors,Separated,0,2,1246021,14997,10100,4807,510,6746,13104,3,7,5,3,14,64,1,0,1,0,0,1,1
06-10-1990 3.25,PhD,Separated,1,0,477935,13565,4710,69,2098,14890,19981,10,13,16,10,4,35,0,0,1,1,0,0,0
10-11-2009 10.11,PhD,Widowed,1,2,659618,13892,10034,4615,6748,5455,15004,4,1,8,11,20,5,1,0,0,1,0,1,1
05-02-1982 17.02,High School,Single,2,1,1208671,9886,19286,4730,9426,2898,2069,7,7,20,0,1,63,0,0,0,0,1,1,1
09-02-1971 5.11,Bachelors,Separated,1,1,432795,11772,4444,8114,1407,15581,13884,13,11,23,12,6,73,1,1,0,1,1,1,1
16-11-1991 19.52,PhD,Divorced,0,1,363598,14679,11867,9064,4316,12397,4168,5,10,11,13,3,70,0,1,0,0,0,1,1
24-09-1993 21.30,PhD,Divorced,2,0,609224,12657,7760,2266,5352,23362,7231,1,12,19,13,7,18,0,0,0,1,1,0,0
28-11-1980 7.32,Masters,Separated,2,0,1265214,9910,2817,5232,373,8063,2954,11,2,5,9,21,71,0,1,0,1,0,0,1
07-07-2016 14.20,Masters,Married,0,0,1717300,377,9496,1709,820,23581,18046,4,2,0,8,14,6,0,0,1,0,1,1,0
02-09-1975 9.52,PhD,Widowed,0,0,562839,9916,18485,7691,8777,17294,14497,4,3,24,3,4,99,0,0,0,1,0,0,0
29-03-1996 13.28,Bachelors,Separated,0,2,1956022,9409,18405,8784,6058,8241,17732,2,14,8,3,29,38,1,0,0,0,0,0,0
16-08-2000 4.38,None,Single,1,0,513092,10610,536,7700,2145,23204,8878,14,2,11,11,6,32,0,0,1,0,0,1,1
10-02-2021 20.13,None,Divorced,1,2,1297368,1832,963,1684,8433,24619,8725,8,13,14,0,9,74,0,0,0,1,0,0,0
21-04-2000 23.18,Professional,Single,0,2,1232588,10631,18591,3356,642,11597,8356,13,13,2,14,0,24,1,1,1,0,1,0,1
06-12-2012 20.49,Masters,Divorced,0,2,979081,329,2214,5559,1214,3596,12330,13,0,10,7,8,90,0,1,1,0,1,0,1
